¿œ¿⁄,PM-10
2019-06-27,19
2019-06-28,50
2019-06-29,33
2019-06-30,29
2019-07-01,55
2019-07-02,37
2019-07-03,40
2019-07-04,50
2019-07-05,52
2019-07-06,36
2019-07-07,26
2019-07-08,21
2019-07-09,21
2019-07-10,14
2019-07-11,12
2019-07-12,17
2019-07-13,29
2019-07-14,36
2019-07-15,40
2019-07-16,26
2019-07-17,26
2019-07-18,18
2019-07-19,17
2019-07-20,8
2019-07-21,17
2019-07-22,39
2019-07-23,27
2019-07-24,22
2019-07-25,31
2019-07-26,23
2019-07-27,27
2019-07-28,13
2019-07-29,18
2019-07-30,14
2019-07-31,16
2019-08-01,15
2019-08-02,23
2019-08-03,35
2019-08-04,32
2019-08-05,42
2019-08-06,25
2019-08-07,37
2019-08-08,27
2019-08-09,25
2019-08-10,28
2019-08-11,24
2019-08-12,21
2019-08-13,20
2019-08-14,20
2019-08-15,8
2019-08-16,15
2019-08-17,36
2019-08-18,47
2019-08-19,48
2019-08-20,44
2019-08-21,28
2019-08-22,16
2019-08-23,42
2019-08-24,34
2019-08-25,36
2019-08-26,36
2019-08-27,24
2019-08-28,29
2019-08-29,36
2019-08-30,27
2019-08-31,34
2019-09-01,33
2019-09-02,24
2019-09-03,12
2019-09-04,
2019-09-05,
2019-09-06,24
2019-09-07,16
2019-09-08,29
2019-09-09,25
2019-09-10,41
2019-09-11,40
2019-09-12,11
2019-09-13,21
2019-09-14,21
2019-09-15,25
2019-09-16,21
2019-09-17,23
2019-09-18,29
2019-09-19,37
2019-09-20,26
2019-09-21,12
2019-09-22,
2019-09-23,14
2019-09-24,21
2019-09-25,31
2019-09-26,40
2019-09-27,38
2019-09-28,33
2019-09-29,35
2019-09-30,39
2019-10-01,
2019-10-02,
2019-10-03,12
2019-10-04,27
2019-10-05,44
2019-10-06,26
2019-10-07,18
2019-10-08,28
2019-10-09,26
2019-10-10,28
2019-10-11,27
2019-10-12,28
2019-10-13,27
2019-10-14,33
2019-10-15,32
2019-10-16,32
2019-10-17,34
2019-10-18,20
2019-10-19,17
2019-10-20,26
2019-10-21,30
2019-10-22,30
2019-10-23,32
2019-10-24,29
2019-10-25,27
2019-10-26,28
2019-10-27,22
2019-10-28,37
2019-10-29,98
2019-10-30,46
2019-10-31,46
2019-11-01,105
2019-11-02,75
2019-11-03,58
2019-11-04,38
2019-11-05,44
2019-11-06,49
2019-11-07,51
2019-11-08,52
2019-11-09,44
2019-11-10,41
2019-11-11,32
2019-11-12,46
2019-11-13,42
2019-11-14,28
2019-11-15,46
2019-11-16,51
2019-11-17,54
2019-11-18,55
2019-11-19,33
2019-11-20,30
2019-11-21,32
2019-11-22,45
2019-11-23,40
2019-11-24,46
2019-11-25,21
2019-11-26,24
2019-11-27,34
2019-11-28,28
2019-11-29,31
2019-11-30,36
2019-12-01,32
2019-12-02,18
2019-12-03,28
2019-12-04,40
2019-12-05,35
2019-12-06,25
2019-12-07,29
2019-12-08,46
2019-12-09,62
2019-12-10,76
2019-12-11,64
2019-12-12,20
2019-12-13,49
2019-12-14,49
2019-12-15,41
2019-12-16,48
2019-12-17,52
2019-12-18,31
2019-12-19,25
2019-12-20,35
2019-12-21,50
2019-12-22,53
2019-12-23,58
2019-12-24,58
2019-12-25,48
2019-12-26,34
2019-12-27,22
2019-12-28,45
2019-12-29,49
2019-12-30,43
2019-12-31,15
2020-01-01,23
2020-01-02,57
2020-01-03,77
2020-01-04,62
2020-01-05,43
2020-01-06,36
2020-01-07,18
2020-01-08,16
2020-01-09,33
2020-01-10,55
2020-01-11,55
2020-01-12,27
2020-01-13,27
2020-01-14,36
2020-01-15,36
2020-01-16,35
2020-01-17,40
2020-01-18,39
2020-01-19,64
2020-01-20,77
2020-01-21,36
2020-01-22,43
2020-01-23,28
2020-01-24,41
2020-01-25,30
2020-01-26,21
