¿œ¿⁄,PM-10
2018-09-25,19
2018-09-26,16
2018-09-27,19
2018-09-28,22
2018-09-29,22
2018-09-30,21
2018-10-01,21
2018-10-02,22
2018-10-03,31
2018-10-04,30
2018-10-05,9
2018-10-06,8
2018-10-07,29
2018-10-08,22
2018-10-09,27
2018-10-10,29
2018-10-11,38
2018-10-12,
2018-10-13,
2018-10-14,
2018-10-15,
2018-10-16,60
2018-10-17,53
2018-10-18,24
2018-10-19,
2018-10-20,
2018-10-21,
2018-10-22,
2018-10-23,36
2018-10-24,54
2018-10-25,51
2018-10-26,52
2018-10-27,27
2018-10-28,28
2018-10-29,27
2018-10-30,24
2018-10-31,27
2018-11-01,30
2018-11-02,32
2018-11-03,37
2018-11-04,35
2018-11-05,51
2018-11-06,58
2018-11-07,50
2018-11-08,34
2018-11-09,30
2018-11-10,49
2018-11-11,42
2018-11-12,37
2018-11-13,34
2018-11-14,31
2018-11-15,34
2018-11-16,41
2018-11-17,40
2018-11-18,36
2018-11-19,46
2018-11-20,54
2018-11-21,61
2018-11-22,32
2018-11-23,39
2018-11-24,43
2018-11-25,40
2018-11-26,47
2018-11-27,53
2018-11-28,83
2018-11-29,93
2018-11-30,135
2018-12-01,81
2018-12-02,63
2018-12-03,54
2018-12-04,35
2018-12-05,38
2018-12-06,23
2018-12-07,19
2018-12-08,18
2018-12-09,15
2018-12-10,25
2018-12-11,25
2018-12-12,35
2018-12-13,43
2018-12-14,23
2018-12-15,35
2018-12-16,37
2018-12-17,53
2018-12-18,51
2018-12-19,76
2018-12-20,96
2018-12-21,99
2018-12-22,67
2018-12-23,40
2018-12-24,29
2018-12-25,31
2018-12-26,41
2018-12-27,18
2018-12-28,20
2018-12-29,24
2018-12-30,18
2018-12-31,24
2019-01-01,28
2019-01-02,22
2019-01-03,36
2019-01-04,51
2019-01-05,68
2019-01-06,33
2019-01-07,46
2019-01-08,55
2019-01-09,32
2019-01-10,30
2019-01-11,56
2019-01-12,37
2019-01-13,48
2019-01-14,71
2019-01-15,62
2019-01-16,27
2019-01-17,41
2019-01-18,54
2019-01-19,59
2019-01-20,28
2019-01-21,31
2019-01-22,59
2019-01-23,72
2019-01-24,45
2019-01-25,42
2019-01-26,38
